Data;ICI Com Ajuste Sazonal - Índice de Confiança da Indústria (CNAE 2.0)(1416212);ISA Com Ajuste Sazonal - Índice de Confiança da Indústria - Situação Atual (CNAE 2.0)(1416213);IE Com Ajuste Sazonal - Índice de Confiança da Indústria - Expectativas (CNAE 2.0)(1416214);Sondagem Industrial - Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal (CNAE 2.0)(1416215);ICS Com Ajuste Sazonal - Índice de Confiança de Serviços (CNAE 2.0)(1416217);ISA-S Com Ajuste Sazonal - Índice da Situação Atual de Serviços (CNAE 2.0)(1416218);IE-S Com Ajuste Sazonal - Índice de Expectativas de Serviços (CNAE 2.0)(1416219);Sondagem de Serviços – Nível de Utilização da Capacidade Instalada Com Ajuste Sazonal(1428410);ICOM Com ajuste Sazonal-Índice de Confiança do Varejo Ampliado (CNAE 2.0)(1416226);ISA-COM Com ajuste Sazonal-Índice da Situação Atual do Varejo Ampliado (CNAE 2.0)(1416227);IE-COM Com ajuste Sazonal-Índice de Expectativas do Varejo Ampliado (CNAE 2.0)(1416228);Sondagem da Construção – Nível de Utilização da Capacidade Instalada(1428409);IE-CST Com ajuste Sazonal - Índice de Expectativas da Construção (CNAE 2.0)(1416233);ISA-CST Com ajuste Sazonal - Índice da Situação Atual da Construção (CNAE 2.0)(1416234);ICST Com ajuste Sazonal - Índice de Confiança da Construção (CNAE 2.0)(1416232);Índice de Confiança do Consumidor com Ajuste Sazonal(1006982);Índice de Confiança do Consumidor - Situação Presente com Ajuste Sazonal(1006983);Índice de Confiança do Consumidor - Expectativas com Ajuste Sazonal(1006984);Indicador de Expectativa de Inflação dos Consumidores(1416188);Indicador Coincidente de Emprego (ICD) com ajuste sazonal(1416204);Indicador Antecedente de Emprego (IA Emp) com ajuste sazonal(1416205)
12/2007;114,800;119,500;110,000;84,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;109,700;95,700;118,900;5,500;86,800; - 
01/2008;113,700;117,000;110,300;85,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;104,900;94,500;112,000;5,600;86,400; - 
02/2008;114,300;116,600;111,800;85,10; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;107,000;93,400;116,200;5,800;84,400; - 
03/2008;112,400;114,200;110,500;85,40; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;111,000;97,900;119,500;6,400;81,800; - 
04/2008;111,600;114,500;108,600;85,20; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;103,800;94,600;110,000;6,700;83,800; - 
05/2008;112,800;115,000;110,300;84,70; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ; - ;104,900;96,500;110,500;6,200;82,800; - 
06/2008;114,900;116,500;113,100;84,80;110,700;112,400;108,800; - ; - ; - ; - ; - ; - ; - ; - ;97,600;93,400;100,700;6,800;85,700;100,000
07/2008;114,000;117,400;110,400;85,30;110,300;110,600;109,700; - ; - ; - ; - ; - ; - ; - ; - ;93,200;88,100;97,100;7,200;86,300;100,000
08/2008;114,500;115,100;113,600;85,20;110,500;111,400;109,500; - ; - ; - ; - ; - ; - ; - ; - ;96,500;92,500;99,400;7,400;83,300;100,100
09/2008;111,400;112,700;110,100;84,70;104,800;108,300;101,400; - ; - ; - ; - ; - ; - ; - ; - ;99,800;97,400;101,400;6,900;79,700;95,800
10/2008;102,100;106,800;97,600;83,90;96,300;107,900;84,900; - ; - ; - ; - ; - ; - ; - ; - ;89,100;90,700;88,500;6,700;82,400;87,100
11/2008;82,900;83,700;82,400;83,10;87,900;95,700;80,500; - ; - ; - ; - ; - ; - ; - ; - ;83,400;85,800;82,500;6,700;86,500;70,800
12/2008;73,700;72,400;75,500;78,60;85,200;93,200;77,400; - ; - ; - ; - ; - ; - ; - ; - ;84,200;89,500;81,300;6,700;89,200;64,800
01/2009;75,300;73,200;77,600;77,50;84,100;89,300;79,300; - ; - ; - ; - ; - ; - ; - ; - ;85,400;89,100;83,500;6,500;90,200;62,800
02/2009;76,000;73,600;78,500;77,30;84,800;87,600;82,200; - ; - ; - ; - ; - ; - ; - ; - ;83,000;87,200;80,900;6,700;89,300;64,300
03/2009;78,800;76,600;81,200;77,30;85,000;86,200;84,000; - ; - ; - ; - ; - ; - ; - ; - ;87,300;88,700;87,000;6,700;89,000;65,000
04/2009;83,800;80,500;87,400;77,50;89,800;88,900;90,900; - ; - ; - ; - ; - ; - ; - ; - ;88,100;85,600;90,400;6,800;90,500;67,300
05/2009;88,700;87,100;90,300;78,10;93,200;90,600;96,100; - ; - ; - ; - ; - ; - ; - ; - ;89,900;86,500;92,800;6,500;90,400;73,000
06/2009;93,200;92,200;94,300;78,40;95,100;93,000;97,500; - ; - ; - ; - ; - ; - ; - ; - ;94,900;89,800;98,700;6,600;87,500;76,200
07/2009;97,500;95,600;99,600;78,10;97,500;96,800;98,100; - ; - ; - ; - ; - ; - ; - ; - ;98,000;89,700;103,700;6,300;86,300;79,600
08/2009;101,300;100,500;102,100;79,30;99,300;96,500;102,200; - ; - ; - ; - ; - ; - ; - ; - ;96,700;92,700;99,600;6,500;85,400;83,900
09/2009;105,500;104,500;106,500;80,50;103,200;98,800;107,700; - ; - ; - ; - ; - ; - ; - ; - ;98,000;93,800;101,000;6,300;84,700;87,900
10/2009;109,600;108,200;110,800;81,00;103,500;101,400;105,600; - ; - ; - ; - ; - ; - ; - ; - ;97,000;96,400;97,600;6,000;82,200;90,800
11/2009;111,300;109,700;112,700;81,90;105,400;104,200;106,500; - ; - ; - ; - ; - ; - ; - ; - ;99,600;97,200;101,300;6,100;81,400;94,000
12/2009;113,000;111,200;114,600;82,40;108,300;103,900;112,500; - ; - ; - ; - ; - ; - ; - ; - ;97,900;95,600;99,600;6,300;79,900;97,000
01/2010;113,600;111,800;115,200;82,30;109,100;105,900;112,200; - ; - ; - ; - ; - ; - ; - ; - ;99,500;99,700;99,300;6,400;79,200;96,800
02/2010;115,200;113,300;116,900;82,70;109,400;105,400;113,200; - ; - ; - ; - ; - ; - ; - ; - ;95,500;99,100;93,200;7,000;78,800;99,300
03/2010;115,700;115,200;116,200;83,20;112,400;110,800;113,900; - ;116,900;115,900;117,200; - ; - ; - ; - ;99,100;97,600;100,200;7,000;77,800;99,700
04/2010;115,700;117,500;113,800;84,00;109,800;109,300;110,200; - ;114,100;111,500;116,000; - ; - ; - ; - ;101,700;99,200;103,400;5,900;75,200;99,200
05/2010;116,500;118,400;114,200;84,10;109,700;109,900;109,400; - ;113,800;114,400;112,500; - ; - ; - ; - ;103,200;102,000;103,900;6,000;72,500;98,700
06/2010;114,700;114,800;114,500;84,20;108,900;110,700;107,000; - ;110,700;112,000;108,900; - ; - ; - ; - ;104,900;102,400;106,500;6,000;71,900;95,000
07/2010;113,000;113,500;112,400;84,40;108,300;108,200;108,200; - ;110,800;112,200;108,700; - ;115,500;116,400;116,100;103,800;102,900;104,300;6,000;70,700;94,800
08/2010;113,200;114,200;111,900;84,10;110,100;111,300;108,700; - ;109,300;109,200;109,100; - ;112,500;117,200;115,000;106,300;105,000;106,900;6,100;70,500;93,200
09/2010;113,800;114,000;113,400;83,70;110,900;112,200;109,500; - ;108,100;109,500;106,300; - ;111,400;114,100;112,900;107,300;107,700;106,600;6,000;69,400;93,500
10/2010;113,600;114,800;112,200;84,00;110,800;111,400;110,000; - ;111,300;110,500;111,600; - ;110,500;113,900;112,300;105,200;106,800;103,700;5,900;69,900;94,300
11/2010;111,700;113,300;110,100;84,10;110,400;109,400;111,300; - ;109,900;110,600;108,900; - ;109,900;112,700;111,400;109,600;111,200;107,900;6,000;67,400;93,300
12/2010;112,200;113,900;110,500;84,10;110,900;112,100;109,500; - ;106,800;109,800;103,500; - ;111,500;111,900;111,800;107,200;111,000;104,000;6,200;65,700;92,900
01/2011;111,200;110,700;111,600;83,70;110,400;111,900;108,600; - ;107,400;105,500;109,000; - ;111,200;111,100;111,200;108,600;110,900;106,600;6,400;64,300;92,000
02/2011;111,600;111,800;111,300;83,00;110,800;112,500;109,000; - ;111,200;105,900;115,900; - ;111,800;111,300;111,600;109,400;110,100;108,500;6,600;64,100;93,600
03/2011;112,600;112,900;112,300;83,00;109,100;109,500;108,600; - ;105,700;101,600;109,500; - ;109,300;110,000;109,800;105,500;109,800;102,200;6,800;63,500;92,300
04/2011;111,500;111,900;110,900;83,50;110,900;111,700;110,000; - ;109,100;107,200;110,600; - ;111,700;110,500;111,200;102,800;108,200;98,800;6,600;65,100;92,000
05/2011;110,200;110,300;110,100;83,60;110,600;111,400;109,600; - ;106,100;104,200;107,800; - ;112,600;110,000;111,400;101,800;106,700;98,400;7,000;65,400;90,400
06/2011;108,000;107,400;108,500;83,40;110,200;110,100;110,200; - ;107,200;106,900;107,300; - ;109,400;109,600;109,600;104,100;108,800;100,600;6,800;65,500;89,100
07/2011;104,600;104,700;104,500;83,00;111,400;111,400;111,200; - ;106,000;104,500;107,300; - ;110,400;108,000;109,300;108,200;111,800;105,200;6,700;64,300;88,700
08/2011;102,600;100,800;104,300;82,40;108,500;108,700;108,100; - ;105,800;104,900;106,300; - ;106,900;107,100;107,100;104,800;108,300;102,200;6,800;62,700;85,000
09/2011;100,400;99,600;101,100;82,30;107,900;109,100;106,500; - ;105,500;104,900;105,800; - ;105,700;102,100;103,900;100,900;105,900;97,200;6,900;64,900;84,800
10/2011;101,600;101,200;101,900;82,50;107,000;108,700;105,200; - ;101,600;103,700;99,500; - ;104,900;103,400;104,100;103,300;105,600;101,500;7,000;63,800;86,600
11/2011;100,200;98,200;102,100;82,00;106,200;106,700;105,600; - ;103,000;102,400;103,500; - ;103,800;105,100;104,400;106,100;108,900;103,900;6,900;62,700;86,500
12/2011;101,000;99,500;102,500;81,70;105,900;107,000;104,600; - ;103,800;102,800;104,500; - ;104,600;104,500;104,600;107,000;109,900;104,700;6,700;60,400;85,300
01/2012;103,700;103,300;104,000;82,20;106,100;104,800;107,300; - ;103,800;101,500;106,100; - ;106,600;103,300;105,000;102,600;107,900;98,700;6,500;62,200;85,800
02/2012;102,500;103,200;101,600;82,50;106,500;106,200;106,700; - ;105,100;102,400;107,600; - ;107,400;106,100;106,900;105,600;109,700;102,400;6,600;62,300;87,600
03/2012;101,600;101,600;101,700;82,10;108,000;107,100;108,700; - ;108,600;106,100;110,500; - ;107,500;103,500;105,600;110,000;109,900;109,600;6,400;62,300;88,200
04/2012;101,000;99,000;103,000;82,10;106,400;105,400;107,200; - ;105,600;105,000;105,900; - ;104,700;103,600;104,100;114,100;111,300;115,300;6,400;63,200;88,700
05/2012;101,700;99,200;104,300;82,40;105,500;105,600;105,300; - ;103,500;103,500;103,400; - ;103,600;104,900;104,300;113,200;110,100;114,800;6,300;61,700;87,700
06/2012;100,700;99,200;102,300;82,10;103,800;104,000;103,600; - ;105,500;103,800;106,900; - ;103,200;103,400;103,300;109,800;106,600;111,600;6,400;62,800;85,700
07/2012;99,900;96,400;103,300;82,40;103,600;104,100;103,100; - ;104,900;105,200;104,100; - ;102,500;103,800;103,100;107,700;106,200;108,400;6,200;63,000;84,400
08/2012;103,300;102,900;103,700;82,70;101,300;101,900;100,800; - ;103,500;104,000;102,900; - ;103,200;100,900;102,100;106,700;105,100;107,400;6,400;64,200;84,000
09/2012;104,600;104,100;105,100;82,20;102,700;101,200;104,200; - ;106,400;106,700;105,900; - ;104,300;103,800;104,000;106,900;105,100;107,800;6,300;64,100;86,900
10/2012;106,100;107,200;104,800;82,10;102,100;100,700;103,500; - ;104,700;106,400;102,900; - ;100,800;104,900;102,800;107,500;106,100;108,100;6,300;62,500;89,000
11/2012;104,100;104,400;103,700;82,10;103,900;101,800;105,900; - ;104,400;106,900;101,800; - ;102,700;102,100;102,400;106,300;106,200;106,100;6,500;62,400;88,700
12/2012;105,800;105,200;106,200;82,60;101,900;100,400;103,400; - ;104,600;104,200;105,000; - ;101,600;102,300;101,900;106,300;104,500;107,300;6,400;60,900;88,400
01/2013;107,100;108,600;105,400;82,20;101,900;101,000;102,900; - ;102,300;105,400;99,000; - ;101,500;100,800;101,100;107,200;105,200;108,200;6,300;62,500;89,000
02/2013;105,800;106,000;105,500;82,30;101,500;99,700;103,300; - ;102,800;106,900;98,600; - ;100,200;101,300;100,700;105,300;102,700;106,800;6,900;62,400;88,800
03/2013;105,200;104,300;106,000;82,40;101,700;99,800;103,500; - ;103,500;106,300;100,500; - ;104,200;98,600;101,400;102,400;99,900;104,000;6,900;64,700;89,200
04/2013;105,500;104,100;106,800;82,30;100,400;99,400;101,500;88,50;104,900;104,400;105,100;80,30;103,700;97,800;100,700;103,200;99,000;106,000;7,000;63,700;86,500
05/2013;106,000;105,600;106,200;82,50;101,900;100,900;102,900;88,50;104,700;106,900;102,400;79,30;101,700;98,500;100,100;102,300;100,500;103,400;7,200;64,700;88,000
06/2013;104,900;104,700;105,100;82,80;101,000;99,800;102,100;87,30;104,300;103,500;105,000;80,80;102,000;97,500;99,700;101,100;99,200;102,300;7,200;63,100;86,900
07/2013;100,700;101,100;100,200;82,90;97,600;97,800;97,400;86,50;101,400;101,000;101,800;80,70;100,200;97,400;98,800;98,400;94,700;101,100;7,200;67,600;82,000
08/2013;101,500;102,300;100,700;82,80;99,600;98,500;100,800;86,80;101,400;105,000;97,700;82,00;98,200;96,000;97,000;101,100;96,900;103,900;7,000;66,100;84,100
09/2013;101,300;102,300;100,500;82,20;101,700;99,800;103,700;86,90;101,200;102,000;100,500;82,90;98,600;100,000;99,300;102,200;98,000;104,900;7,100;66,400;84,200
10/2013;99,700;101,100;98,300;82,50;98,600;100,200;97,100;86,70;103,000;101,500;104,300;81,60;102,100;98,800;100,400;100,500;98,600;101,900;7,100;65,200;85,200
11/2013;99,300;100,100;98,400;82,90;98,100;98,900;97,300;86,50;101,500;99,300;103,700;81,50;99,600;98,200;98,900;102,400;99,000;104,700;7,200;65,300;85,100
12/2013;99,800;99,800;99,700;82,70;98,700;98,900;98,500;86,80;101,700;100,800;102,600;79,80;98,100;99,100;98,600;101,400;97,800;103,800;7,100;66,100;86,900
01/2014;100,100;101,300;98,900;82,60;97,500;96,600;98,400;86,80;99,400;97,900;100,900;79,40;98,300;98,300;98,300;99,400;96,700;101,200;7,300;66,300;86,100
02/2014;98,300;99,500;97,300;82,60;98,500;97,800;99,300;87,10;98,100;98,000;98,300;81,10;96,700;97,600;97,000;97,900;93,800;100,700;7,200;67,400;86,100
03/2014;97,600;97,000;98,400;82,60;98,900;98,000;99,800;86,70;100,700;99,400;102,000;80,60;96,000;97,200;96,500;97,200;94,600;99,000;7,200;64,300;85,700
